CP_MOUVEMENT	Menu Mouvements
CP_TR6_S	Saisie TR6
CP_TR6_int	Interrogation des mouvements
CP_TR6_A	Annulation des mouvements
CP_TR6_A_int	Interrogation des mouvements Annulés
CP_CONTRE_P	Contres Parties
CP_CONTRE_P_S	Saisie des Contres Parties
CP_CONTRE_P_S	Annulation des Contres Parties
CP_CONTRE_P_int	Interrogation des Contres Parties
CP_TR6_V	Validation des TR6
CP_TR6_V_A	Annulation de la Validation des TR6
CP_TR6_V_INT	Consultation des TR6
CP_CONTRE_P_V	Validation des Contres Parties
CP_CONTRE_P_V_A	Annulation de la Validation des Contres Parties
CP_TR6_EDIT	Edition des TR6
CP_TR6_ENVOI	Envoi des TR6
PF_Cheque_Rem_A	Annulation Remise des Carnets
CP_BALANCE	Menu Balance
CP_BALANCE_E	Balance d'Entrée
CP_BALANCE_E_S	Saisie de la Balance d'entrée
CP_BALANCE_E_C	Chargement de la Balance d'entrée
CP_BALANCE_E_M	Modification de la Balance d'entrée
CP_BALANCE_E_A	Annulation de la Balance d'entrée
CP_BALANCE_E_int	Interrogation de la Balance d'entrée
CP_BALANCE_M	Balance Mensuelle
CP_BALANCE_M_S	Génération de la Balance Mensuelle
CP_BALANCE_M_int	Consultation de la Balance Mensuelle
CP_BALANCE_D	Balance Définitive
CP_BALANCE_D_S	Génération de la Balance  Définitive
CP_BALANCE_D_V	Validation de la Balance  Définitive
CP_BALANCE_D_A	Annulation de Validation de la Balance  Définitive
CP_BALANCE_D_INT	Consultation de la Balance  Définitive
CP_REGIE	Menu Régie
CP_REGIE_REC	Saisie des Receveurs
CP_REGIE_MOTIF	Saisie des Motifs
CP_REGIE_BAL_E	Balance d'Entrée des Receveurs
CP_REGIE_BAL_E_S	Saisie de la Balance d'Entrée des Receveurs
CP_REGIE_BAL_E_INT	Consultation de la Balance d'Entrée des Receveurs
CP_REGIE_BAL	Balance Régie Financière
CP_REGIE_BAL_S	Saisie de la Balance Régie
CP_REGIE_BAL_M	Modification de la Balance Régie
CP_REGIE_BAL_V	Validation de la Balance Régie
CP_REGIE_BAL_V_A	Annulation de la Validation de la Balance Régie
CP_REGIE_BAL_INT	Consultation de la Balance Régie
CP_REGIE_OPER	Opération Régie Financière
CP_REGIE_REG	Remise Régie
CP_REGIE_REG_S	Saisie des Remises Régie
CP_REGIE_REG_A	Annulation des Remises Régie
CP_REGIE_REG_INT	Consultation des Remises Régie
CP_REGIE_SERV	Remontées des Régies
CP_REGIE_SERV_S	Saisie des Remontées des Régies
CP_REGIE_SERV_A	Annulation des Remontées des Régies
CP_REGIE_SERV_int	Consultation des Remontées des Régies
CP_REGIE_CONTRE_P	Contres Parties des Régie
CP_REGIE_CONTRE_P_S	Saisie des Contres Parties des Régie
CP_REGIE_CONTRE_P_A	Annulation des Contres Parties des Régie
CP_REGIE_CONTRE_P_INT	Interrogation des Contres Parties des Régie
CP_REGIE_EDIT	Edition Régie
CP_TRSF	Menu Transferts
CP_TRSF_DEP	Opérations Départ
CP_TRSF_DEP_S	Saisie des Transferts
CP_TRSF_DEP_E	Envoi des Transferts
CP_TRSF_DEP_CONS_S	Saisie des Transferts Consignés
CP_TRSF_DEP_CONS_E	Envoi des Transferts Consignés
CP_TRSF_DEP_INT	Consultation des Transferts Envoyés
CP_TRSF_DEP_CONS_INT	Consultation des Transferts Consignés
CP_TRSF_ARRIV	Opérations Arrivée
CP_TRSF_ARRIV_R	Récéption des Transferts Arrivés
CP_TRSF_ARRIV_P	Prise en charge des Transferts Arrivés
CP_TRSF_ARRIV_S	Saisie des Transferts Arrivés
CP_TRSF_ARRIV_A	Annulation des Transferts Arrivés
CP_TRSF_ARRIV_INT	Consultation des Transferts Arrivés
CP_TRSF_CONTRE_P	Contres Parties des  Transferts
CP_TRSF_CONTRE_P_S	Saisie des Contres Parties des  Transferts
CP_TRSF_CONTRE_P_A	Annulation des Contres Parties des  Transferts
CP_TRSF_CONTRE_P_INT	Interrogation des Contres Parties des Transferts
CP_TRSF_EDIT	Edition-Menu Transferts
CP_TR6_ORD_EDIT	Edition du TR6 des Opération d'Ordres
CP_GESTION	Initialisation de la Gestion
CP_Admin_User	Menu Administration
