DP_FONCT	Menu Fonctionnement
DP_F_CLOT_GEST	Clôture de la Gestion-FCT
DP_F_TAB_STAT	Saisie Ord-Chap-banques-FCT
DP_F_CREDIT	Prise en charge des Crédits-FCT
DP_F_CREDIT_S	Saisie de crédits-FCT
DP_F_CREDIT_M	Modification des crédits-FCT
DP_F_CREDIT_A	Annulation de crédits-FCT
DP_F_ENGAGE	Engagement des Crédits-FCT
DP_F_ENGAGE_S	Saisie des Engagements-FCT
DP_F_ENGAGE_A	Annulation des Engagements-FCT
DP_F_MANDAT	Gestion des Mandats-FCT
DP_F_MANDAT_EM	Emission des Mandats-FCT
DP_F_MANDAT_EM_HD	Emission des Mandats Hors Délais-FCT
DP_F_MANDAT_VERIF	Vérification des Mandats-FCT
DP_F_MANDAT_AD	Admission ou rejet des Mandats-FCT
DP_F_MANDAT_AD_DEC	Admission des mandats à Découvert-FCT
DP_F_MANDAT_DISP	Vérification de la Disponibilité des Crédits-FCT
DP_F_MANDAT_DISP_DEC	Admission sans Vérification de Disponibilité-FCT
DP_F_MANDAT_OPPOS	Vérification des Oppositions-FCT
DP_F_MANDAT_REG	Règlement des Mandats-FCT
DP_F_MANDAT_REG_A	Annulation Règlement-FCT
DP_F_MANDAT_MODIF	Modification et Suppression des Mandats-FCT
DP_F_MANDAT_CONSULT	Consultaion des mandats-FCT
DP_F_EDIT_CTL	Edition Situations et Contrôles Crédit-FCT
DP_F_EDIT_TR6	Edition TR.6-FCT
DP_F_ENVOI_NC13	Envoi des NC13 à l'ACCT-FCT
DP_EQUIP	Menu Equipement
DP_E_CLOT_GEST	Clôture de la Gestion-EQP
DP_E_TAB_STAT	Saisie Ord-Chap-Corresp-EQP
DP_E_MARCHE	Prise en charge de Marchés-EQP
DP_E_PROGRM	Prise en charge des autorisations-EQP
DP_E_PROGRM_S	Saisie Opérations et Engagements-EQP
DP_E_PROGRM_A	Annulation Opérations-EQP
DP_E_CREDIT	Prise en charge des Crédits-EQP
DP_E_CREDIT_S	Saisie des Crédits-EQP
DP_E_CREDIT_A	Annulation de crédits-EQP
DP_E_CREDIT_M	Modification des Crédits-EQP
DP_E_MANDAT	Gestion des Mandats-EQP
DP_E_MANDAT_EM	Emission des Mandats-EQP
DP_E_MANDAT_EM_HD	Emission des Mandats Hors Délais-EQP
DP_E_MANDAT_VERIF	Vérification des mandats-EQP
DP_E_MANDAT_AD	Admission ou rejet des mandats-EQP
DP_E_MANDAT_DISP	Disponibilité des crédits-EQP
DP_E_MANDAT_OPPOS	Vérification des Oppositions-EQP
DP_E_MANDAT_REG	Règlement des Mandats-EQP
DP_E_MANDAT_REG_A	Annulation Règlement-EQP
DP_E_MANDAT_MODIF	Modification et Suppression des Mandats-EQP
DP_E_MANDAT_CONSULT	Consultation des Mandats-EQP
DP_E_EDIT_CTL	Edition Situations et Contrôles-EQP
DP_E_EDIT_TR6	Edition TR.6-EQP
DP_WILAYA	Menu WILAYA
DP_W_CLOT_GEST	Clôture de la Gestion-WL
DP_W_TAB_STAT	Saisie Ord-Chap-Banques-WL
DP_W_CREDIT	Prise en charge des crédits-WL
DP_W_CREDIT_S	Saisie des crédits-WL
DP_W_CREDIT_M	Modification des Crédits-WL
DP_W_CREDIT_A	Annulation des Crédits-WL
DP_W_PROGRM	Prise en charge des programmes-WL
DP_W_PROGRM_S	Saisie des Programmes-WL
DP_W_PROGRM_M	Modification des Programmes-WL
DP_W_RECETTE	Prise en charge des Recettes-WL
DP_W_RECETTE_S	Saisie des Recettes-WL
